id,family,genus,species,location,weight,tl,sl,delta15N,troph
MOO18_F102,Acanthuridae,Acanthurus,Acanthurus lineatus,Moorea,130,195,145,6.5,2
MOO18_F104,Aulostomidae,Aulostomus,Aulostomus chinensis,Moorea,122.3,425,403,9.97,4.24
MOO18_F105,Apogonidae,Cheilodipterus ,Cheilodipterus macrodon,Moorea,120.7,216,159,12.11,4.01
MOO18_F106,Chaetodontidae,Heniochus,Heniochus chrysostomus,Moorea,55.5,135,108,10.04,3.34
MOO18_F108,Chaetodontidae,Heniochus,Heniochus chrysostomus,Moorea,40.9,115,104,9.61,3.34
MOO18_F109,Ostraciidae,Ostracion,Ostracion cubicus,Moorea,306.6,244,195,8.73,3.37
MOO18_F110,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,68.7,171,128,8.98,3.61
MOO18_F111,Chaetodontidae,Chaetodon,Chaetodon lunulatus,Moorea,41.9,115,105,9.81,3.34
MOO18_F112,Chaetodontidae,Chaetodon,Chaetodon vagabundus,Moorea,81.6,150,124,10.38,2.9
MOO18_F113,Holocentridae,Myripristis,Myripristis kuntee,Moorea,42.2,142,103,10.37,3.1
MOO18_F114,Balistidae,Melichthys,Melichthys vidua,Moorea,301.9,222,186,7.41,3.38
MOO18_F115,Holocentridae,Myripristis,Myripristis kuntee,Moorea,43.1,139,99,9.81,3.1
MOO18_F116,Chaetodontidae,Chaetodon,Chaetodon ephippium,Moorea,144.8,194,158,9.8,3.01
MOO18_F117,Pomacentridae,Dascyllus,Dascyllus flavicaudus,Moorea,23.1,96,78,9.39,2.94
MOO18_F118,Holocentridae,Neoniphon,Neoniphon sammara,Moorea,35.2,141,103,10,3.37
MOO18_F119,Chaetodontidae,Chaetodon,Chaetodon lunulatus,Moorea,27.9,113,94,9.03,3.34
MOO18_F120,Pomacentridae,Dascyllus,Dascyllus flavicaudus,Moorea,31.4,102,82,9.6,2.94
MOO18_F123,Acanthuridae,Naso,Naso lituratus,Moorea,117.3,195,155,7.39,2.32
MOO18_F124,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,102.9,184,147,11.01,3.83
MOO18_F126,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,177.4,227,180,10.75,3.61
MOO18_F127,Chaetodontidae,Chaetodon,Chaetodon reticulatus,Moorea,56.4,122,105,10.26,2.63
MOO18_F130,Serranidae,Cephalopholis,Cephalopholis urodeta,Moorea,92.4,191,160,12.2,4.02
MOO18_F131,Labridae,Scarus,Scarus psittacus,Moorea,182.2,217,162,6.09,2
MOO18_F132,Labridae,Halichoeres,Halichoeres hortulanus,Moorea,174.8,256,192,9.08,3.4
MOO18_F133,Labridae,Scarus,Scarus globiceps,Moorea,137,196,169,5.01,2
MOO18_F134,Chaetodontidae,Chaetodon,Chaetodon ephippium,Moorea,146.2,190,144,9.91,3.01
MOO18_F135,Labridae,Coris,Coris aygula,Moorea,107.3,197,159,7.49,3.73
MOO18_F137,Pomacentridae,Abudefduf,Abudefduf septemfasciatus,Moorea,158.6,184,149,8.65,3.01
MOO18_F138,Labridae,Cheilinus,Cheilinus trilobatus,Moorea,90.5,196,154,9.42,3.92
MOO18_F139,Labridae,Halichoeres,Halichoeres trimaculatus,Moorea,63.7,166,133,8.77,3.46
MOO18_F140,Labridae,Halichoeres,Halichoeres trimaculatus,Moorea,132.2,140,120,8.58,3.46
MOO18_F141,Labridae,Halichoeres,Halichoeres hortulanus,Moorea,57.8,164,133,9.32,3.4
MOO18_F142,Chaetodontidae,Heniochus,Heniochus chrysostomus,Moorea,70.2,125,111,10.74,3.34
MOO18_F143,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,370,298,235,11.65,3.61
